"","timestamp","applicationname","userid"
"1","-05-31 15:44:38.852","com.tellm.android.app",113
"2","-05-15 12:45:14.967","com.whatsapp",113
"3","-05-15 11:40:20.421","com.google.android.apps.docs",113
"4","-05-09 11:17:56.719","com.miui.home",113
"5","-05-09 10:27:03.443","com.whatsapp",113
"6","-05-31 13:29:32.370","com.miui.home",113
"7","-05-31 15:23:14.734","com.miui.home",113
"8","-05-09 14:52:13.822","com.miui.home",113
"9","-05-09 12:43:21.027","com.miui.home",113
"10","-05-09 14:58:06.774","com.miui.home",113
"11","-05-31 15:36:02.827","com.miui.home",113
"12","-05-09 15:39:21.121","com.whatsapp",113
"13","-05-15 12:30:40.725","com.whatsapp",113
"14","-05-31 22:14:58.567","com.android.browser",113
"15","-05-09 11:25:43.154","com.miui.home",113
"16","-05-31 19:35:37.499","com.miui.home",113
"17","-05-31 14:48:42.469","com.miui.home",113
"18","-05-31 19:57:09.450","com.miui.home",113
"19","-05-15 13:07:08.829","com.miui.home",113
"20","-05-09 11:35:34.624","com.miui.home",113
"21","-05-15 23:10:47.259","com.tellm.android.app",113
"22","-05-15 11:54:59.821","com.whatsapp",113
"23","-05-15 12:43:54.796","com.miui.home",113
"24","-05-31 19:27:27.000","com.whatsapp",113
"25","-05-31 19:20:34.024","com.miui.home",113
"26","-05-15 12:25:01.033","com.whatsapp",113
"27","-05-15 23:31:58.397","com.tellm.android.app",113
"28","-05-31 09:12:27.524","com.whatsapp",113
"29","-05-09 10:28:54.294","com.miui.home",113
"30","-05-09 14:22:48.091","com.miui.home",113
"31","-05-31 14:58:04.322","com.tellm.android.app",113
"32","-05-09 14:24:53.046","com.miui.home",113
"33","-05-31 21:59:22.721","com.instagram.android",113
"34","-05-09 11:43:01.116","com.miui.home",113
"35","-05-31 17:05:15.438","com.miui.home",113
"36","-05-15 23:04:56.155","com.tellm.android.app",113
"37","-05-09 14:04:52.959","com.miui.home",113
"38","-05-09 10:38:40.983","com.whatsapp",113
"39","-05-09 11:52:11.459","com.whatsapp",113
"40","-05-09 11:58:39.490","com.whatsapp",113
"41","-05-31 23:14:45.818","com.miui.home",113
"42","-05-09 13:47:56.810","com.miui.home",113
"43","-05-09 15:20:34.485","com.miui.home",113
"44","-05-31 19:23:29.779","com.whatsapp",113
"45","-05-31 19:51:57.521","com.miui.home",113
"46","-05-09 11:53:26.496","com.whatsapp",113
"47","-05-15 13:07:14.210","com.miui.home",113
"48","-05-31 15:09:31.415","com.android.browser",113
"49","-05-09 14:52:40.225","com.miui.home",113
"50","-05-09 10:10:06.989","com.whatsapp",113
