"","timestamp","source","status","userid"
"1","-05-26 00:43:15.795","charging_ac","True",135
"2","-05-25 19:41:35.106","charging_ac","True",31
"3","-05-21 11:48:06.661","charging_ac","True",107
"4","-06-08 09:28:07.479","","False",14
"5","-06-06 16:09:01.729","charging_ac","True",116
"6","-05-21 23:04:43.711","charging_ac","True",149
"7","-05-11 20:20:05.817","charging_ac","True",89
"8","-05-21 12:20:47.491","","False",107
"9","-05-21 12:07:38.613","","False",107
"10","-05-21 17:14:03.471","","False",107
"11","-05-11 20:15:26.612","","False",31
"12","-06-06 16:09:12.012","","False",116
"13","-05-11 12:14:35.070","","False",31
"14","-05-15 23:36:16.108","charging_ac","True",136
"15","-05-24 12:58:45.025","charging_ac","True",31
"16","-06-05 21:53:38.000","charging_ac","True",90
"17","-05-26 00:37:50.217","charging_ac","True",119
"18","-05-29 17:47:39.010","charging_ac","True",70
"19","-05-26 11:14:46.634","","False",131
"20","-06-02 12:06:50.848","","False",131
"21","-05-11 13:05:42.537","","False",31
"22","-05-09 13:49:57.803","charging_ac","True",89
"23","-05-13 18:10:37.770","","False",70
"24","-05-11 15:57:09.257","","False",14
"25","-05-21 12:12:00.202","","False",107
"26","-05-21 11:36:12.252","charging_ac","True",107
"27","-05-31 20:43:16.162","","False",136
"28","-06-05 12:20:04.168","charging_ac","True",89
"29","-05-26 11:12:53.004","","False",101
"30","-05-08 11:50:29.232","","False",90
"31","-06-05 09:15:48.353","charging_ac","True",114
"32","-05-11 20:27:22.461","charging_ac","True",31
"33","-05-13 00:41:59.838","charging_ac","True",135
"34","-05-16 13:57:19.422","","False",149
"35","-05-31 14:55:23.271","","False",21
"36","-05-31 07:25:45.995","","False",65
"37","-05-24 17:31:04.570","","False",21
"38","-06-07 09:12:17.112","","False",135
"39","-05-13 18:23:08.160","","False",33
"40","-05-23 16:54:29.123","charging_ac","True",88
"41","-05-28 06:59:58.138","","False",64
"42","-05-21 11:56:05.008","charging_ac","True",107
"43","-06-05 12:09:31.309","","False",89
"44","-05-17 12:29:42.752","","False",101
"45","-05-17 10:36:22.841","","False",31
"46","-05-21 21:47:26.539","","False",31
"47","-06-06 21:34:37.263","charging_ac","True",89
"48","-06-05 12:01:26.585","","False",89
"49","-05-09 14:11:40.474","","False",89
"50","-05-21 21:24:33.110","charging_ac","True",39
