"","timestamp","level","scale","userid"
"1","-05-23 08:42:40.292",89,100,102
"2","-05-07 12:57:26.685",67,100,26
"3","-05-16 20:40:23.217",37,100,112
"4","-06-03 04:39:51.176",90,100,90
"5","-05-16 10:50:15.318",57,100,103
"6","-05-25 15:20:41.720",84,100,101
"7","-06-07 05:20:30.415",100,100,150
"8","-05-22 17:47:21.069",3,100,74
"9","-05-13 18:23:38.402",45,100,85
"10","-05-18 11:34:57.942",61,100,74
"11","-09-30 19:19:24.995",23,100,103
"12","-05-28 22:43:22.146",55,100,49
"13","-05-08 07:58:08.398",97,100,74
"14","-05-10 02:54:20.514",19,100,107
"15","-05-08 23:41:10.696",4,100,60
"16","-05-25 02:04:02.189",16,100,111
"17","-05-26 00:52:23.962",42,100,28
"18","-05-17 00:30:00.294",35,100,94
"19","-05-23 13:52:26.301",47,100,28
"20","-05-25 17:18:22.724",52,100,85
"21","-05-28 13:19:08.280",94,100,88
"22","-06-04 18:34:57.462",89,100,9
"23","-05-31 09:32:33.797",31,100,112
"24","-05-18 13:10:14.338",45,100,136
"25","-05-13 21:17:35.971",76,100,15
"26","-05-13 14:21:24.317",7,100,103
"27","-06-09 23:50:38.478",94,100,60
"28","-05-11 15:41:57.249",54,100,111
"29","-05-25 13:26:24.070",90,100,93
"30","-05-17 20:33:34.212",6,100,97
"31","-05-17 15:01:37.802",36,100,103
"32","-06-05 23:36:28.110",35,100,12
"33","-06-08 00:26:46.399",4,100,31
"34","-05-22 02:14:51.590",54,100,101
"35","-05-30 20:55:32.461",66,100,64
"36","-05-10 09:30:55.250",98,100,49
"37","-05-23 00:40:25.282",88,100,1
"38","-05-22 23:57:22.186",2,100,103
"39","-05-14 17:02:39.216",93,100,90
"40","-05-07 12:59:53.673",73,100,113
"41","-05-13 16:50:28.422",69,100,113
"42","-05-17 16:07:08.859",14,100,41
"43","-05-31 16:33:46.490",86,100,21
"44","-05-08 08:01:18.883",56,100,4
"45","-06-06 07:08:10.119",97,100,14
"46","-05-20 00:16:17.268",11,100,80
"47","-06-07 21:02:26.588",20,100,95
"48","-05-21 10:57:25.851",87,100,97
"49","-05-14 07:50:31.857",73,100,4
"50","-06-01 17:05:14.536",21,100,135
