"","timestamp","accuracy","bearing","lucene","latitude","longitude","altitude","provider","speed","userid"
"1","4 22:04:03.691",74.3270034790039,-1,NA,46.0552,11.5262,-1,"network",-1,61
"2","4 04:50:44.254",28.1000003814697,-1,NA,46.0548,11.5265,-1,"network",-1,61
"3","4 19:15:13.888",116.099998474121,-1,NA,46.0476,11.135,-1,"network",-1,61
"4","4 02:35:34.496",23.6000003814697,-1,NA,46.0548,11.5265,-1,"network",-1,61
"5","8 13:18:17.358",41.310001373291,-1,NA,46.055,11.5262,-1,"network",-1,61
"6","1 20:58:12.943",51.5779991149902,0,NA,45.8887,11.0342,256,"gps",0,113
"7","7 05:12:50.154",20,-1,NA,46.1453,12.201,-1,"network",-1,113
"8","4 04:29:03.833",26.3999996185303,-1,NA,46.0548,11.5265,-1,"network",-1,61
"9","9 19:47:53.756",24.8999996185303,-1,NA,46.0548,11.5265,-1,"network",-1,61
"10","9 23:32:35.143",19.2110004425049,-1,NA,46.0548,11.5265,-1,"network",-1,61
"11","1 07:12:03.543",48.9000015258789,-1,NA,46.0548,11.5265,-1,"network",-1,61
"12","4 18:44:28.133",77.5999984741211,-1,NA,46.0722,11.1194,-1,"network",-1,61
"13","4 19:09:53.148",20.568000793457,-1,NA,46.0549,11.1221,-1,"network",-1,61
"14","1 11:11:37.184",19.8549995422363,-1,NA,46.0688,11.1238,-1,"network",-1,61
"15","4 07:26:17.199",34.4000015258789,-1,NA,46.0548,11.5265,-1,"network",-1,61
"16","9 23:33:52.170",19.2250003814697,-1,NA,46.0548,11.5265,-1,"network",-1,61
"17","9 19:06:01.265",18.5610008239746,-1,NA,46.0548,11.5265,-1,"network",-1,61
"18","4 18:42:17.620",100,-1,NA,46.0734,11.1191,-1,"network",-1,61
"19","9 21:49:04.171",19.2189998626709,-1,NA,46.0548,11.5265,-1,"network",-1,61
"20","9 23:53:23.168",19.2280006408691,-1,NA,46.0548,11.5265,-1,"network",-1,61
"21","1 02:32:05.975",26.3999996185303,-1,NA,46.0548,11.5265,-1,"network",-1,61
"22","7 05:12:50.190",20,-1,NA,46.1453,12.201,-1,"network",-1,113
"23","4 00:56:18.325",26.3999996185303,-1,NA,46.0548,11.5265,-1,"network",-1,61
"24","1 00:55:48.929",32.0999984741211,-1,NA,46.0548,11.5265,-1,"network",-1,61
"25","1 23:57:45.420",24.8999996185303,-1,NA,46.0548,11.5265,-1,"network",-1,61
"26","4 01:47:54.265",23.6000003814697,-1,NA,46.0548,11.5265,-1,"network",-1,61
"27","1 03:44:02.650",23.6000003814697,-1,NA,46.0548,11.5265,-1,"network",-1,61
"28","4 06:21:41.229",26.3999996185303,-1,NA,46.0548,11.5265,-1,"network",-1,61
"29","9 21:43:07.180",18.9780006408691,-1,NA,46.0548,11.5265,-1,"network",-1,61
"30","8 01:43:34.445",34.4000015258789,-1,NA,46.0548,11.5265,-1,"network",-1,61
"31","9 19:28:49.992",33.7179985046387,-1,NA,46.055,11.5263,-1,"network",-1,61
"32","8 01:15:01.946",64.0999984741211,-1,NA,46.0548,11.5265,-1,"network",-1,61
"33","1 10:21:42.738",18.6499996185303,-1,NA,46.1066,11.1113,-1,"network",-1,61
"34","9 21:17:18.215",19.4099998474121,-1,NA,46.0548,11.5265,-1,"network",-1,61
"35","4 19:24:52.748",82.5,-1,NA,46.0458,11.1394,-1,"network",-1,61
"36","8 12:10:02.225",60,-1,NA,46.0548,11.5266,-1,"network",-1,61
"37","4 19:11:17.485",24.511999130249,-1,NA,46.0543,11.135,-1,"network",-1,61
"38","9 23:41:35.486",19.0979995727539,-1,NA,46.0548,11.5265,-1,"network",-1,61
"39","1 09:36:38.255",27.9890003204346,-1,NA,45.9957,11.2549,-1,"network",-1,61
"40","4 18:37:13.028",57.8870010375977,-1,NA,46.0718,11.1204,-1,"network",-1,61
"41","4 01:22:00.502",50.0999984741211,-1,NA,46.0548,11.5265,-1,"network",-1,61
"42","8 00:57:58.753",60,-1,NA,46.0548,11.5265,-1,"network",-1,61
"43","9 21:04:41.207",60.9389991760254,-1,NA,46.055,11.5262,-1,"network",-1,61
"44","9 19:16:14.212",28.1000003814697,-1,NA,46.0548,11.5265,-1,"network",-1,61
"45","1 01:21:48.766",19.2950000762939,-1,NA,46.0548,11.5265,-1,"network",-1,61
"46","1 16:56:19.226",20,-1,NA,45.8886,11.0339,-1,"network",-1,113
"47","9 18:53:38.802",35.4500007629395,-1,NA,46.0549,11.5263,-1,"network",-1,61
"48","9 19:48:03.804",50.007999420166,-1,NA,46.0548,11.5266,-1,"network",-1,61
"49","9 21:20:04.234",45,0,NA,46.055,11.5265,493,"gps",0,61
"50","4 00:55:18.200",26.3999996185303,-1,NA,46.0548,11.5265,-1,"network",-1,61
