"","timestamp","status","userid"
"1","-06-01 11:38:21.586","mode_normal",102
"2","-05-28 14:37:52.504","mode_silent",28
"3","-05-30 20:49:52.364","mode_silent",28
"4","-05-15 21:15:08.522","mode_silent",70
"5","-05-16 14:51:43.891","mode_normal",113
"6","-06-06 19:38:56.335","mode_normal",86
"7","-05-08 21:30:42.565","mode_normal",4
"8","-06-02 10:11:30.559","mode_normal",4
"9","-05-13 12:39:06.452","mode_silent",102
"10","-05-26 08:51:24.572","mode_normal",113
"11","-05-28 16:02:32.752","mode_normal",102
"12","-05-11 17:39:22.535","mode_normal",102
"13","-05-29 17:58:03.875","mode_normal",102
"14","-05-29 15:08:30.897","mode_silent",70
"15","-05-26 10:20:22.269","mode_normal",113
"16","-05-21 00:13:45.842","mode_normal",113
"17","-05-26 17:41:42.336","mode_normal",86
"18","-06-04 23:26:41.006","mode_silent",28
"19","-05-25 14:31:29.228","mode_silent",28
"20","-05-30 10:59:46.516","mode_silent",28
"21","-05-17 19:15:38.565","mode_silent",28
"22","-05-12 21:10:29.610","mode_normal",102
"23","-05-19 19:18:14.938","mode_silent",70
"24","-05-12 17:59:03.977","mode_normal",102
"25","-05-26 19:04:29.152","mode_normal",102
"26","-06-07 19:01:39.823","mode_silent",28
"27","-05-17 18:27:41.782","mode_silent",102
"28","-05-23 14:47:21.255","mode_silent",28
"29","-05-31 15:11:34.098","mode_normal",4
"30","-06-01 22:26:05.418","mode_silent",28
"31","-05-25 02:37:09.532","mode_normal",113
"32","-05-12 17:35:39.335","mode_normal",86
"33","-05-16 13:50:43.457","mode_normal",113
"34","-05-25 22:42:25.452","mode_silent",28
"35","-06-06 18:10:41.466","mode_normal",4
"36","-05-31 19:22:30.705","mode_silent",86
"37","-06-07 15:36:41.127","mode_silent",28
"38","-05-26 14:12:17.619","mode_silent",86
"39","-06-04 21:56:41.472","mode_silent",28
"40","-06-03 22:49:20.513","mode_silent",86
"41","-05-29 04:42:24.226","mode_silent",112
"42","-05-21 21:21:13.379","mode_normal",4
"43","-05-27 16:36:23.951","mode_normal",86
"44","-05-24 11:25:51.072","mode_normal",113
"45","-05-25 21:32:41.797","mode_silent",86
"46","-05-19 16:55:09.097","mode_silent",28
"47","-06-04 20:15:42.393","mode_normal",4
"48","-05-20 19:14:18.810","mode_silent",28
"49","-05-22 17:31:17.076","mode_normal",4
"50","-05-09 09:35:42.109","mode_normal",4
